covalent,vdw_clash,vdw,proximal,hbond,weak_hbond,xbond,ionic,metal_complex,aromatic,hydrophobic,carbonyl,ligand
0,14,45,8519,1,10,0,0,0,0,54,0,CS332_59|cs332-confgen|mol2|59|dock8
0,10,33,8857,4,7,0,0,0,0,40,0,CS334_44|cs334-confgen|mol2|44|dock3
0,13,30,8240,0,6,0,0,0,0,44,0,CS340_20|cs340-confgen|mol2|20|dock10
0,21,34,8828,1,8,0,0,0,0,39,0,CS337_39|cs337-confgen|mol2|39|dock5
0,35,57,11111,5,13,0,0,0,0,42,0,CS335_102|cs335-confgen|mol2|102|dock2
0,20,40,9339,1,9,0,0,0,0,49,0,CS339_9|cs339-confgen|mol2|9|dock3
0,11,29,8723,1,12,0,0,0,0,44,0,CS337_49|cs337-confgen|mol2|49|dock1
0,20,49,8755,1,9,0,0,0,0,46,0,CS340_24|cs340-confgen|mol2|24|dock7
0,29,60,11063,5,13,0,0,0,0,40,0,CS335_84|cs335-confgen|mol2|84|dock5
0,13,40,9178,1,11,0,0,0,0,59,0,CS339_52|cs339-confgen|mol2|52|dock9
0,22,40,9455,0,8,0,0,0,0,49,0,CS339_60|cs339-confgen|mol2|60|dock6
0,21,40,8530,1,10,0,0,0,0,53,0,CS332_54|cs332-confgen|mol2|54|dock1
0,12,32,8799,2,10,0,0,0,0,44,0,CS337_55|cs337-confgen|mol2|55|dock1
0,32,65,11126,6,13,0,0,0,0,41,0,CS335_101|cs335-confgen|mol2|101|dock1
0,18,38,9176,0,11,0,0,0,0,44,0,CS340_7|cs340-confgen|mol2|7|dock2
0,16,34,10342,1,8,0,0,0,0,48,0,CS335_48|cs335-confgen|mol2|48|dock7
0,10,34,8841,4,6,0,0,0,0,40,0,CS334_78|cs334-confgen|mol2|78|dock3
0,18,34,8764,2,5,0,0,0,0,44,0,CS337_36|cs337-confgen|mol2|36|dock2
0,28,61,10988,5,11,0,0,0,0,39,0,CS335_85|cs335-confgen|mol2|85|dock4
0,15,38,8524,0,10,0,0,0,0,38,0,CS339_18|cs339-confgen|mol2|18|dock6
0,27,38,8999,0,10,0,0,0,0,58,0,CS339_45|cs339-confgen|mol2|45|dock8
0,19,51,10910,3,14,0,0,0,0,40,0,CS335_7|cs335-confgen|mol2|7|dock9
0,16,44,8425,1,7,0,0,0,0,55,0,CS331_35|cs331-confgen|mol2|35|dock3
0,13,43,8485,2,7,0,0,0,0,62,0,CS332_16|cs332-confgen|mol2|16|dock3
