C.C,C.N,C.O,C.P,C.S,N.C,N.N,N.O,N.P,N.S,O.C,O.N,O.O,O.P,O.S,F.C,F.N,F.O,F.P,F.S,P.C,P.N,P.O,P.P,P.S,S.C,S.N,S.O,S.P,S.S,Cl.C,Cl.N,Cl.O,Cl.P,Cl.S,Br.C,Br.N,Br.O,Br.P,Br.S,I.C,I.N,I.O,I.P,I.S,ligand
5123,0,863,0,0,1071,0,166,0,0,1110,0,178,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS332_59|cs332-confgen|mol2|59|dock8
5044,0,1133,0,0,1074,0,235,0,0,1098,0,243,0,0,0,0,0,0,0,0,0,0,0,0,59,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS334_44|cs334-confgen|mol2|44|dock3
4649,0,1167,0,0,933,0,237,0,0,977,0,245,0,0,0,0,0,0,0,0,0,0,0,0,60,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_20|cs340-confgen|mol2|20|dock10
5100,0,1103,0,0,1062,0,232,0,0,1087,0,227,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_39|cs337-confgen|mol2|39|dock5
5737,0,2060,0,0,1229,0,430,0,0,1229,0,427,0,0,0,0,0,0,0,0,0,0,0,0,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_102|cs335-confgen|mol2|102|dock2
5450,0,1094,0,0,1161,0,213,0,0,1175,0,232,0,0,0,0,0,0,0,0,0,0,0,0,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_9|cs339-confgen|mol2|9|dock3
5015,0,1090,0,0,1062,0,229,0,0,1068,0,228,0,0,0,0,0,0,0,0,0,0,0,0,59,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS337_49|cs337-confgen|mol2|49|dock1
4986,0,1161,0,0,1049,0,239,0,0,1062,0,254,0,0,0,0,0,0,0,0,0,0,0,0,60,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS340_24|cs340-confgen|mol2|24|dock7
5712,0,2049,0,0,1229,0,424,0,0,1228,0,419,0,0,0,0,0,0,0,0,0,0,0,0,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS335_84|cs335-confgen|mol2|84|dock5
5360,0,1090,0,0,1120,0,228,0,0,1134,0,225,0,0,0,0,0,0,0,0,0,0,0,0,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS339_52|cs339-confgen|mol2|52|dock9
