covalent,vdw_clash,vdw,proximal,hbond,weak_hbond,xbond,ionic,metal_complex,aromatic,hydrophobic,carbonyl,ligand
0,17,33,6575,1,13,0,0,1,0,26,0,ZINC62063086_004
0,23,50,6365,0,7,0,0,1,0,38,3,ZINC67359258_005
0,1,13,3658,0,2,0,0,0,0,1,0,ZINC13556145_006
0,15,64,7684,1,7,0,0,0,2,40,0,ZINC45530994_009
0,21,31,6481,3,7,0,0,1,0,22,0,ZINC37130668_006
0,19,34,7107,0,13,0,0,0,0,45,1,ZINC04680219_006
0,31,56,6851,3,14,0,0,0,4,29,0,ZINC45665039_000
0,25,44,6881,1,6,0,4,2,0,27,1,ZINC40637192_008
0,14,46,6182,0,4,0,6,1,12,25,0,ZINC57624996_008
0,27,43,7157,3,12,0,0,0,2,15,3,ZINC00043707_009
0,14,30,5374,0,6,0,3,0,0,17,0,ZINC42431184_001
0,29,47,8307,0,13,0,0,3,6,32,0,ZINC67386172_005
0,23,56,6726,1,13,0,1,2,3,37,0,ZINC51847395_006
0,26,46,9698,1,7,0,0,0,12,47,0,ZINC14849421_001
0,23,45,6067,1,10,0,3,0,0,10,1,ZINC62814858_000
0,35,54,6952,3,13,0,0,0,0,24,1,ZINC49093699_004
0,19,40,6782,2,9,0,0,0,3,34,0,ZINC40329485_003
0,31,44,6490,4,12,0,3,1,0,30,0,ZINC19482617_007
0,20,36,6416,0,11,0,3,0,0,6,0,ZINC42576025_005
0,30,56,8408,2,8,0,0,0,11,40,0,ZINC12502346_007
0,31,61,7687,2,13,0,1,0,1,29,1,ZINC66178837_007
0,35,55,9876,2,18,0,0,0,7,53,1,ZINC15896058_003
0,19,49,7029,2,11,0,0,0,8,47,0,ZINC36719797_003
0,34,46,9292,0,9,0,0,0,16,62,0,ZINC00904496_009
0,7,35,6089,1,7,0,0,0,4,23,0,ZINC44493016_002
0,24,59,6674,1,8,0,0,2,6,40,0,ZINC45969690_002
0,40,42,6691,0,8,0,3,0,23,38,0,ZINC43610555_005
0,39,55,6849,2,13,0,0,1,15,23,2,ZINC44730972_002
0,16,43,8705,1,11,0,0,0,9,32,0,ZINC20228501_009
0,8,30,4578,1,9,0,0,0,0,24,0,ZINC38064573_009
0,25,38,5774,4,11,0,0,0,1,8,0,ZINC37471658_005
0,33,52,6325,2,15,0,0,0,26,42,0,ZINC17210593_000
0,22,47,8726,0,7,0,0,0,20,26,1,ZINC59412109_008
0,26,55,8445,1,12,0,0,0,12,44,0,ZINC02253243_003
0,23,44,6650,0,8,0,0,1,0,28,0,ZINC66125728_008
0,27,36,6753,3,7,0,0,1,3,32,1,ZINC42446024_004
0,25,43,7134,4,12,0,3,0,14,47,0,ZINC43101129_002
0,27,48,7781,0,20,0,2,2,0,24,0,ZINC39603709_005
0,19,51,7004,0,8,0,0,0,11,37,0,ZINC67309561_002
0,38,37,8513,3,8,0,6,0,18,28,0,ZINC58223347_004
0,26,49,5645,3,11,0,0,0,0,13,1,ZINC37481878_002
0,11,59,7875,2,10,0,0,0,9,46,0,ZINC58244777_002
0,27,56,8423,2,9,0,0,0,27,21,0,ZINC20836868_002
0,13,49,7292,0,6,0,0,0,12,39,0,ZINC41960799_006
0,13,36,5707,0,2,0,0,1,5,32,0,ZINC48950906_001
0,24,47,8129,2,9,0,1,1,0,21,0,ZINC55401795_008
0,24,52,7293,0,10,0,0,1,12,25,0,ZINC65607663_002
0,26,53,6411,1,11,0,0,0,7,34,1,ZINC61764686_000
0,40,61,9485,2,13,0,0,0,20,18,1,ZINC11081042_004
0,27,60,7942,1,12,0,0,0,15,40,0,ZINC63838248_003
0,24,50,7293,1,12,0,0,0,2,39,0,ZINC37807285_002
0,29,67,9928,1,19,0,0,1,0,40,2,ZINC21602886_002
0,30,67,9550,2,15,0,0,0,14,71,0,ZINC31393684_006
0,61,83,10384,0,19,0,1,1,6,36,0,ZINC39601102_005
0,22,41,6723,1,6,0,6,0,8,50,0,ZINC52094364_006
0,31,65,8040,1,14,0,0,0,2,47,0,ZINC14662090_005
0,30,64,9150,4,11,0,0,1,16,38,0,CHEMBL125208_004
0,31,65,7411,3,13,0,0,0,10,51,0,ZINC62771806_006
0,31,60,9310,0,15,0,0,0,19,33,0,ZINC09826127_003
0,7,10,3579,2,3,0,0,0,0,3,0,ZINC04765034_008
0,18,43,6838,1,9,0,0,1,9,44,0,ZINC40947039_009
0,27,64,7306,1,6,0,0,0,9,38,0,ZINC54396668_005
0,52,64,10055,2,16,0,0,0,18,41,0,ZINC12037543_005
0,43,69,10340,2,17,0,0,0,18,35,0,ZINC14697657_008
0,34,50,10002,2,7,0,0,1,13,52,0,ZINC67301150_009
0,31,51,7845,2,14,0,0,0,2,32,0,ZINC29190000_002
0,20,49,6477,1,14,0,0,1,0,19,0,ZINC49106109_008
0,27,48,7505,1,11,0,0,0,17,39,0,ZINC35594376_002
0,40,62,9185,2,13,0,1,0,3,46,1,ZINC67268336_009
0,10,48,5534,0,12,0,0,0,0,36,0,ZINC62870829_001
0,32,42,7048,0,10,0,0,1,0,28,0,ZINC67236871_008
0,17,42,6843,0,11,0,5,0,0,37,0,ZINC62871126_008
0,24,47,8047,3,8,0,0,0,4,49,1,ZINC42928612_002
0,37,63,10922,2,16,0,0,0,14,53,0,ZINC39612089_003
0,44,76,8654,3,16,0,0,1,27,56,0,ZINC61855450_009
0,41,65,9627,4,13,0,0,1,13,36,3,ZINC03444079_002
0,14,26,8140,0,3,0,0,0,16,27,0,ZINC41026207_003
0,13,39,5209,1,5,0,1,0,8,28,0,ZINC50839186_008
0,34,46,9485,0,14,0,0,1,11,48,0,ZINC08033669_008
0,35,58,7708,1,10,0,0,1,9,49,1,ZINC61431328_001
0,33,42,5878,5,13,0,0,0,23,28,0,ZINC06529145_003
0,24,47,7681,2,13,0,0,1,3,39,0,ZINC59932350_002
0,39,60,8564,1,16,0,0,1,25,40,0,ZINC48669591_006
0,17,43,6827,1,11,0,0,0,7,10,0,ZINC35121815_008
0,23,37,6057,2,12,0,6,0,0,41,0,ZINC66618637_002
0,20,37,5940,2,9,0,0,0,0,5,3,ZINC62815043_007
0,26,48,7327,1,19,0,0,0,13,49,0,ZINC16692170_006
0,18,40,6222,2,12,0,0,0,0,22,0,ZINC53043751_007
0,22,52,6813,3,9,0,8,0,1,25,1,ZINC62835147_002
0,19,59,8992,3,15,0,0,0,12,35,0,ZINC20970413_003
1,27,56,8341,1,13,0,0,1,9,42,2,ZINC40476608_004
0,25,42,7661,1,11,0,0,0,0,22,0,ZINC47601984_002
0,17,51,6947,0,13,0,6,1,0,33,2,ZINC45475692_000
0,26,57,6653,7,12,0,3,0,9,15,0,ZINC37972889_009
0,23,32,8416,1,12,0,0,0,14,16,0,ZINC02443460_007
0,28,50,7476,3,9,0,0,1,19,25,1,ZINC67466072_002
0,34,46,8438,1,13,0,0,0,9,32,2,ZINC08968886_008
0,31,50,7317,3,8,0,0,0,9,53,0,ZINC37951238_006
0,24,51,6215,0,7,0,18,1,8,33,1,ZINC37742017_005
0,26,41,5100,1,10,0,0,1,0,34,0,ZINC11893742_004
0,19,53,8046,0,9,0,0,0,4,23,0,ZINC67624821_008
0,26,45,6501,0,7,0,0,1,6,30,0,ZINC61949856_002
0,30,57,9552,0,13,0,6,0,0,37,0,ZINC39708419_003
0,16,43,7078,1,4,0,0,0,0,34,1,ZINC57643374_002
0,34,46,9498,1,16,0,0,1,1,36,0,ZINC20683650_002
0,25,50,5029,1,6,0,0,0,0,34,0,ZINC08568972_002
0,21,34,8426,1,9,0,0,0,14,35,1,ZINC20228501_004
0,25,49,6133,2,8,0,15,0,0,27,3,ZINC37741585_009
0,34,69,7464,3,18,0,8,0,3,38,0,ZINC66243467_000
0,17,59,8982,1,12,0,0,0,8,31,1,ZINC58582464_004
0,26,35,6791,3,8,0,0,0,15,41,0,ZINC33026664_003
0,35,50,9331,0,18,0,0,2,17,50,0,ZINC02853070_003
0,27,44,6763,1,7,0,0,2,1,21,0,ZINC57292758_006
0,27,61,7466,1,8,0,5,0,20,49,0,ZINC55401391_002
0,13,44,5754,1,12,0,7,0,9,41,0,ZINC42006944_005
0,13,48,6695,2,8,0,0,0,0,19,0,ZINC63213319_006
0,29,32,6442,3,7,0,0,0,0,35,0,ZINC19852963_005
0,18,36,6405,1,11,0,0,0,3,33,1,ZINC53043751_008
0,33,54,6396,4,13,0,0,1,7,9,0,ZINC40723694_005
0,64,56,9771,2,20,0,0,3,4,93,1,ZINC15529985_006
0,17,43,6769,3,2,0,0,0,11,44,0,CHEMBL190495_007
0,34,56,6828,2,15,0,0,0,7,32,0,ZINC45665039_003
0,15,53,6107,1,6,0,0,0,0,29,0,ZINC49693030_008
0,38,57,9841,2,12,0,0,1,8,50,0,ZINC20968883_006
0,16,42,6811,1,8,0,0,0,4,34,0,ZINC05709221_002
0,31,45,6891,0,11,0,4,1,9,45,1,ZINC41802767_003
0,18,46,7190,0,11,0,0,0,12,38,0,ZINC63002446_009
0,25,59,7488,2,9,0,0,0,9,31,0,ZINC65696165_004
0,43,56,7454,1,7,0,16,0,6,32,1,ZINC40573654_004
0,18,45,6910,1,13,0,0,1,8,43,1,ZINC67445809_007
0,39,55,7166,2,12,0,0,1,0,47,0,ZINC49147422_006
0,30,69,6397,1,7,0,9,1,0,18,2,ZINC61213866_009
0,38,57,8276,3,6,0,2,0,7,53,0,ZINC66726811_009
0,33,80,10380,2,15,0,0,0,8,59,1,ZINC36697799_002
0,30,49,9122,1,13,0,0,1,7,38,0,ZINC59849888_007
0,20,36,5629,3,8,0,0,1,1,12,0,ZINC51147959_001
0,14,33,6391,1,9,0,0,0,4,21,0,ZINC62893164_006
0,20,48,6634,1,7,0,0,0,1,33,0,ZINC45065086_008
0,21,52,6329,1,15,0,0,0,0,26,1,ZINC49825343_008
0,30,51,7725,0,13,0,0,0,14,44,0,ZINC09959217_005
1,11,39,6708,1,4,0,0,1,11,39,0,ZINC37209669_003
0,6,28,4652,1,4,0,4,0,0,13,0,ZINC54244349_005
0,15,37,5277,0,8,0,3,0,0,34,0,ZINC37940799_003
0,26,33,7091,2,8,0,3,1,0,36,0,ZINC52007659_007
0,30,58,7414,2,13,0,0,0,1,34,0,ZINC40808200_006
0,20,34,5720,1,5,0,0,0,9,45,0,ZINC05481676_003
0,30,46,8017,1,11,0,0,0,8,44,0,ZINC14836392_001
0,29,49,6063,1,6,0,0,0,0,36,0,ZINC13985143_008
0,18,37,6564,1,5,0,0,1,5,38,0,ZINC20201535_006
0,28,59,7320,2,8,0,0,1,11,35,2,ZINC66120092_004
0,22,52,8253,0,10,0,0,2,3,43,0,ZINC22692512_000
0,18,38,6520,0,8,0,2,0,5,52,2,ZINC61830023_009
0,18,38,5093,1,17,0,0,0,3,27,0,ZINC59913757_007
0,34,66,8864,1,15,0,0,0,6,51,0,ZINC27249526_006
0,15,32,6206,0,10,0,0,0,5,23,0,ZINC66187637_003
0,22,38,5778,2,9,0,0,1,2,38,0,ZINC20363564_009
0,20,45,6021,0,7,0,0,0,8,26,0,ZINC50773477_005
1,15,44,7021,0,8,0,0,1,0,30,0,ZINC47752019_001
0,55,50,9527,1,13,0,0,1,2,49,0,ZINC03841103_004
0,15,42,6360,0,8,0,0,0,12,37,0,ZINC62777010_005
0,34,65,7899,0,11,0,0,0,30,42,0,ZINC14937983_007
0,30,53,9466,1,15,0,0,0,10,35,0,ZINC00900970_001
0,21,43,6650,0,7,0,0,1,0,41,0,ZINC58605727_000
0,22,42,5742,2,9,0,0,0,3,35,0,ZINC06442038_004
0,35,46,9316,0,9,0,0,0,16,64,0,ZINC00904496_008
0,39,59,6498,2,19,0,0,1,7,46,0,ZINC62122963_008
0,12,43,5707,3,9,0,0,0,4,14,0,ZINC39279703_006
0,26,45,7700,0,10,0,0,0,4,28,0,ZINC39561137_000
0,30,62,9919,0,13,0,0,3,0,43,0,ZINC22716966_002
0,45,69,8820,3,16,0,2,0,20,49,2,CHEMBL35724_002
0,18,45,6368,1,6,0,0,1,3,33,0,ZINC53258318_002
0,25,44,6827,1,6,0,4,0,16,33,0,ZINC50816034_003
0,25,39,6590,3,5,0,0,0,2,26,0,ZINC35326996_000
0,30,65,8879,3,8,0,0,2,26,59,1,ZINC15898751_004
0,29,48,6553,0,11,0,0,0,10,34,0,ZINC48889592_008
0,26,45,7202,0,9,0,0,0,5,28,0,ZINC36335693_003
0,35,69,8879,3,19,0,0,0,4,45,0,ZINC15899218_009
0,31,41,7137,1,9,0,0,0,0,18,0,ZINC37799587_009
0,16,39,5254,0,9,0,0,0,0,12,0,ZINC37269224_007
0,18,36,6389,1,13,0,0,0,7,33,1,ZINC49989981_004
0,35,37,8547,0,14,0,4,1,12,30,0,ZINC65376594_001
0,28,52,8220,1,6,0,7,1,21,47,0,ZINC45284573_007
0,34,53,7947,1,9,0,0,0,25,21,0,ZINC43082544_003
0,18,53,9655,1,12,0,0,1,0,24,0,ZINC17208498_009
0,47,59,10674,2,15,0,0,2,16,50,0,ZINC19143518_006
0,25,52,6124,2,14,0,0,0,0,36,0,ZINC54435830_005
0,31,67,6791,2,13,0,0,2,24,27,0,ZINC45157686_000
0,31,47,7022,0,15,0,0,0,14,65,0,ZINC37390280_006
0,32,48,9218,2,17,0,0,0,0,55,1,ZINC43553778_004
0,12,34,5875,2,5,0,0,0,3,23,0,ZINC50164040_004
0,49,75,10106,4,21,0,0,0,6,62,1,ZINC10455602_000
1,18,47,6799,1,5,0,0,1,9,43,0,ZINC38050929_003
0,24,28,4867,2,3,0,3,1,0,17,0,ZINC54492972_006
0,16,38,7316,3,6,0,0,0,6,22,0,ZINC58413543_001
0,16,38,5994,1,4,0,0,0,5,31,0,ZINC20422554_009
