C.C,C.N,C.O,C.P,C.S,N.C,N.N,N.O,N.P,N.S,O.C,O.N,O.O,O.P,O.S,F.C,F.N,F.O,F.P,F.S,P.C,P.N,P.O,P.P,P.S,S.C,S.N,S.O,S.P,S.S,Cl.C,Cl.N,Cl.O,Cl.P,Cl.S,Br.C,Br.N,Br.O,Br.P,Br.S,I.C,I.N,I.O,I.P,I.S,ligand
3209,420,657,0,0,840,115,179,0,0,824,105,179,0,0,0,0,0,0,0,0,0,0,0,0,55,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62063086_004
2969,707,475,0,0,773,185,124,0,0,791,193,127,0,0,0,0,0,0,0,0,0,0,0,0,52,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67359258_005
1382,501,313,0,251,322,115,79,0,62,346,117,81,0,62,0,0,0,0,0,0,0,0,0,0,23,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC13556145_006
3717,456,683,0,216,846,112,165,0,59,887,121,161,0,61,0,0,0,0,0,0,0,0,0,0,60,8,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45530994_009
2641,674,650,0,233,673,196,182,0,70,665,190,190,0,71,0,0,0,0,0,0,0,0,0,0,53,13,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37130668_006
3714,577,460,0,0,923,132,102,0,0,915,139,109,0,0,0,0,0,0,0,0,0,0,0,0,57,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC04680219_006
2596,466,691,0,221,707,117,178,0,63,701,125,173,0,62,0,0,0,0,0,0,0,0,0,0,43,10,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45665039_000
3115,477,951,0,0,807,114,237,0,0,800,121,226,0,0,0,0,0,0,0,0,0,0,0,0,58,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40637192_008
3131,451,475,0,0,790,116,139,0,0,792,120,140,0,0,0,0,0,0,0,0,0,0,0,0,57,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC57624996_008
2951,1100,708,0,0,757,264,164,0,0,738,272,165,0,0,0,0,0,0,0,0,0,0,0,0,56,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC00043707_009
2274,645,685,0,0,559,153,162,0,0,549,156,158,0,0,0,0,0,0,0,0,0,0,0,0,40,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC42431184_001
3707,682,479,0,0,967,164,117,0,0,978,160,110,0,0,0,0,0,0,0,0,0,0,0,0,70,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67386172_005
3451,454,485,0,0,913,118,131,0,0,910,114,131,0,0,0,0,0,0,0,0,0,0,0,0,62,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC51847395_006
4852,851,701,0,0,1243,198,160,0,0,1263,209,163,0,0,0,0,0,0,0,0,0,0,0,0,90,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC14849421_001
2552,927,460,0,0,671,252,126,0,0,685,251,122,0,0,0,0,0,0,0,0,0,0,0,0,47,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62814858_000
3142,921,472,0,0,825,233,129,0,0,830,258,128,0,0,0,0,0,0,0,0,0,0,0,0,57,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49093699_004
3184,617,429,0,193,839,154,109,0,49,849,161,110,0,46,0,0,0,0,0,0,0,0,0,0,59,12,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40329485_003
2586,683,683,0,233,706,181,191,0,66,705,183,188,0,66,0,0,0,0,0,0,0,0,0,0,46,13,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC19482617_007
2524,931,688,0,0,685,248,177,0,0,692,253,177,0,0,0,0,0,0,0,0,0,0,0,0,47,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC42576025_005
3262,817,601,0,334,864,209,149,0,77,891,205,147,0,84,0,0,0,0,0,0,0,0,0,0,58,15,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC12502346_007
3370,1160,454,0,0,883,319,133,0,0,882,331,133,0,0,0,0,0,0,0,0,0,0,0,0,61,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66178837_007
4641,748,922,0,153,1199,194,244,0,39,1219,190,237,0,40,0,0,0,0,0,0,0,0,0,0,84,14,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC15896058_003
3193,463,688,0,246,806,125,197,0,73,819,129,188,0,70,0,0,0,0,0,0,0,0,0,0,58,8,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC36719797_003
4164,387,1095,0,389,1100,113,289,0,107,1081,105,310,0,101,0,0,0,0,0,0,0,0,0,0,75,8,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC00904496_009
2583,645,641,0,141,661,162,144,0,32,681,160,161,0,33,0,0,0,0,0,0,0,0,0,0,49,12,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC44493016_002
3463,193,684,0,0,905,45,188,0,0,933,51,195,0,0,0,0,0,0,0,0,0,0,0,0,66,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45969690_002
3528,240,664,0,0,898,60,171,0,0,886,52,171,0,0,0,0,0,0,0,0,0,0,0,0,67,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC43610555_005
2762,450,713,0,0,761,127,210,0,0,790,127,219,0,0,0,0,0,0,0,0,0,0,0,0,54,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC44730972_002
3533,359,1003,0,154,892,82,266,0,36,883,90,252,0,39,0,0,0,0,0,0,0,0,0,0,65,5,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20228501_009
2539,429,0,0,0,681,116,0,0,0,661,119,0,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC38064573_009
1883,945,680,0,224,526,232,186,0,62,535,223,195,0,58,0,0,0,0,0,0,0,0,0,0,35,18,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37471658_005
3010,470,470,0,216,779,122,129,0,59,755,123,120,0,65,0,0,0,0,0,0,0,0,0,0,51,10,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC17210593_000
4378,540,816,0,0,1137,131,198,0,0,1140,137,201,0,0,0,0,0,0,0,0,0,0,0,0,78,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC59412109_008
3595,736,590,0,375,934,171,159,0,91,973,175,159,0,91,0,0,0,0,0,0,0,0,0,0,68,13,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC02253243_003
3182,660,456,0,0,861,169,126,0,0,864,173,130,0,0,0,0,0,0,0,0,0,0,0,0,57,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66125728_008
3084,717,464,0,200,763,179,132,0,50,753,191,136,0,48,0,0,0,0,0,0,0,0,0,0,55,14,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC42446024_004
3295,701,421,0,227,869,190,119,0,59,859,187,116,0,54,0,0,0,0,0,0,0,0,0,0,57,14,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC43101129_002
3807,673,660,0,0,956,172,180,0,0,953,167,178,0,0,0,0,0,0,0,0,0,0,0,0,66,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39603709_005
3209,698,688,0,0,831,178,177,0,0,851,166,175,0,0,0,0,0,0,0,0,0,0,0,0,60,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67309561_002
4266,696,604,0,0,1131,179,152,0,0,1124,168,147,0,0,0,0,0,0,0,0,0,0,0,0,77,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC58223347_004
2091,952,697,0,0,519,245,185,0,0,523,245,179,0,0,0,0,0,0,0,0,0,0,0,0,37,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37481878_002
3799,724,462,0,206,944,186,122,0,42,984,189,133,0,47,0,0,0,0,0,0,0,0,0,0,68,13,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC58244777_002
3014,1687,184,0,183,804,417,46,0,41,799,411,44,0,47,0,0,0,0,0,0,0,0,0,0,58,28,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20836868_002
3632,537,443,0,151,966,127,106,0,30,980,130,109,0,36,0,0,0,0,0,0,0,0,0,0,70,9,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC41960799_006
2194,700,476,0,207,557,191,134,0,48,571,198,132,0,50,0,0,0,0,0,0,0,0,0,0,42,15,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC48950906_001
3727,886,671,0,0,981,229,178,0,0,999,232,179,0,0,0,0,0,0,0,0,0,0,0,0,66,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC55401795_008
3319,663,663,0,166,843,161,174,0,35,867,164,172,0,41,0,0,0,0,0,0,0,0,0,0,57,11,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC65607663_002
3216,715,225,0,0,855,195,64,0,0,868,193,63,0,0,0,0,0,0,0,0,0,0,0,0,58,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61764686_000
3792,633,1043,0,0,1001,164,261,0,0,1022,158,265,0,0,0,0,0,0,0,0,0,0,0,0,65,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC11081042_004
3670,580,658,0,304,965,138,171,0,76,970,144,162,0,76,0,0,0,0,0,0,0,0,0,0,71,10,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63838248_003
3572,691,470,0,0,954,185,122,0,0,957,190,120,0,0,0,0,0,0,0,0,0,0,0,0,63,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37807285_002
4582,538,1234,0,131,1199,134,315,0,29,1226,140,322,0,35,0,0,0,0,0,0,0,0,0,0,80,10,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC21602886_002
4785,624,732,0,167,1198,160,184,0,38,1222,165,194,0,46,0,0,0,0,0,0,0,0,0,0,83,12,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC31393684_006
4794,663,676,0,0,1220,155,191,0,0,1207,160,183,0,0,0,0,0,0,0,0,0,0,0,0,86,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39601102_005
3052,697,237,0,0,786,197,68,0,0,788,188,71,0,0,0,0,0,0,0,0,0,0,0,0,59,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC52094364_006
3579,683,667,0,222,910,164,160,0,49,956,164,163,0,53,0,0,0,0,0,0,0,0,0,0,66,12,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC14662090_005
4304,1047,682,0,0,1065,274,184,0,0,1096,281,183,0,0,0,0,0,0,0,0,0,0,0,0,79,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL125208_004
3928,483,450,0,0,1016,126,123,0,0,1024,125,120,0,0,0,0,0,0,0,0,0,0,0,0,74,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62771806_006
4247,645,949,0,212,1149,156,245,0,52,1165,157,244,0,51,0,0,0,0,0,0,0,0,0,0,77,11,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC09826127_003
1340,794,266,0,0,315,190,62,0,0,336,190,63,0,0,0,0,0,0,0,0,0,0,0,0,21,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC04765034_008
2620,1156,207,0,458,677,316,50,0,129,692,322,54,0,123,0,0,0,0,0,0,0,0,0,0,48,20,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40947039_009
3342,1149,0,0,226,887,325,0,0,63,894,332,0,0,74,0,0,0,0,0,0,0,0,0,0,59,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC54396668_005
5123,628,523,0,0,1307,156,133,0,0,1308,175,129,0,0,0,0,0,0,0,0,0,0,0,0,88,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC12037543_005
5281,854,666,0,0,1398,218,159,0,0,1361,210,156,0,0,0,0,0,0,0,0,0,0,0,0,92,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC14697657_008
4916,793,701,0,0,1260,198,185,0,0,1276,205,188,0,0,0,0,0,0,0,0,0,0,0,0,94,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67301150_009
3500,687,682,0,230,929,174,196,0,56,933,177,190,0,53,0,0,0,0,0,0,0,0,0,0,66,14,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC29190000_002
3192,611,415,0,0,874,142,108,0,0,852,147,106,0,0,0,0,0,0,0,0,0,0,0,0,59,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49106109_008
3338,893,459,0,203,862,229,127,0,55,899,236,121,0,50,0,0,0,0,0,0,0,0,0,0,62,17,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC35594376_002
4307,922,707,0,0,1135,257,196,0,0,1175,253,201,0,0,0,0,0,0,0,0,0,0,0,0,78,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67268336_009
2992,212,441,0,0,773,58,123,0,0,743,55,113,0,0,0,0,0,0,0,0,0,0,0,0,52,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62870829_001
2799,908,880,0,0,733,244,226,0,0,753,247,227,0,0,0,0,0,0,0,0,0,0,0,0,50,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67236871_008
3354,476,619,0,0,874,131,164,0,0,885,134,161,0,0,0,0,0,0,0,0,0,0,0,0,62,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62871126_008
3905,676,442,0,220,1018,187,125,0,55,1005,190,125,0,50,0,0,0,0,0,0,0,0,0,0,72,13,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC42928612_002
5298,666,890,0,0,1377,164,212,0,0,1371,178,206,0,0,0,0,0,0,0,0,0,0,0,0,94,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39612089_003
3778,481,881,0,0,1005,133,237,0,0,1000,134,237,0,0,0,0,0,0,0,0,0,0,0,0,65,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61855450_009
3884,615,1128,0,234,957,145,285,0,51,972,145,290,0,50,0,0,0,0,0,0,0,0,0,0,72,11,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC03444079_002
3751,1362,261,0,0,936,342,63,0,0,961,333,64,0,0,0,0,0,0,0,0,0,0,0,0,67,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC41026207_003
2313,453,424,0,232,605,116,110,0,68,584,102,104,0,70,0,0,0,0,0,0,0,0,0,0,45,8,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC50839186_008
4473,421,1049,0,201,1200,115,281,0,53,1178,116,290,0,51,0,0,0,0,0,0,0,0,0,0,80,9,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC08033669_008
3122,907,649,0,338,832,235,181,0,85,837,246,177,0,84,0,0,0,0,0,0,0,0,0,0,50,19,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61431328_001
2819,887,238,0,0,715,207,57,0,0,677,207,56,0,0,0,0,0,0,0,0,0,0,0,0,50,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC06529145_003
3114,621,867,0,429,781,171,231,0,118,786,167,242,0,121,0,0,0,0,0,0,0,0,0,0,53,10,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC59932350_002
4031,668,884,0,0,1032,170,256,0,0,1064,183,250,0,0,0,0,0,0,0,0,0,0,0,0,72,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC48669591_006
3077,680,662,0,0,836,165,174,0,0,848,172,174,0,0,0,0,0,0,0,0,0,0,0,0,55,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC35121815_008
2989,474,458,0,0,806,133,126,0,0,785,133,123,0,0,0,0,0,0,0,0,0,0,0,0,54,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66618637_002
2468,886,444,0,0,681,250,132,0,0,674,241,132,0,0,0,0,0,0,0,0,0,0,0,0,45,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62815043_007
3283,421,845,0,235,870,113,212,0,58,875,115,209,0,58,0,0,0,0,0,0,0,0,0,0,57,8,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC16692170_006
3078,454,447,0,0,850,131,116,0,0,860,136,112,0,0,0,0,0,0,0,0,0,0,0,0,59,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC53043751_007
3357,674,478,0,0,871,169,105,0,0,857,169,105,0,0,0,0,0,0,0,0,0,0,0,0,60,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62835147_002
4254,641,840,0,0,1053,148,206,0,0,1070,146,206,0,0,0,0,0,0,0,0,0,0,0,0,69,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20970413_003
3780,684,714,0,235,994,195,199,0,56,976,206,209,0,56,0,0,0,0,0,0,0,0,0,0,66,14,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40476608_004
3613,703,674,0,0,939,187,181,0,0,946,188,191,0,0,0,0,0,0,0,0,0,0,0,0,62,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC47601984_002
3541,236,700,0,0,964,67,193,0,0,940,70,204,0,0,0,0,0,0,0,0,0,0,0,0,61,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45475692_000
2538,467,681,0,0,668,115,190,0,0,655,101,185,0,0,0,0,0,0,0,0,0,0,0,0,51,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37972889_009
3197,1877,415,0,0,784,466,111,0,0,799,466,111,0,0,0,0,0,0,0,0,0,0,0,0,57,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC02443460_007
3536,432,880,0,0,934,112,249,0,0,943,107,252,0,0,0,0,0,0,0,0,0,0,0,0,69,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67466072_002
3423,607,988,0,570,851,145,236,0,148,886,148,245,0,149,0,0,0,0,0,0,0,0,0,0,64,12,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC08968886_008
3848,464,451,0,0,1019,121,124,0,0,1020,114,125,0,0,0,0,0,0,0,0,0,0,0,0,73,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37951238_006
2897,467,477,0,238,734,117,147,0,65,734,114,147,0,64,0,0,0,0,0,0,0,0,0,0,49,9,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37742017_005
2347,237,467,0,0,642,65,134,0,0,654,64,134,0,0,0,0,0,0,0,0,0,0,0,0,44,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC11893742_004
3785,832,504,0,152,989,203,129,0,34,1001,200,133,0,41,0,0,0,0,0,0,0,0,0,0,71,14,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67624821_008
3395,678,227,0,0,865,175,58,0,0,844,184,49,0,0,0,0,0,0,0,0,0,0,0,0,64,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61949856_002
4362,846,888,0,208,1094,205,232,0,54,1137,204,225,0,52,0,0,0,0,0,0,0,0,0,0,76,15,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39708419_003
3349,536,556,0,0,863,116,139,0,0,861,132,133,0,0,0,0,0,0,0,0,0,0,0,0,61,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC57643374_002
4643,832,591,0,186,1181,226,145,0,49,1175,227,140,0,45,0,0,0,0,0,0,0,0,0,0,87,15,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20683650_002
1974,711,451,0,236,486,177,110,0,53,510,160,108,0,52,0,0,0,0,0,0,0,0,0,0,38,12,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC08568972_002
3367,341,987,0,149,849,73,265,0,34,862,86,257,0,36,0,0,0,0,0,0,0,0,0,0,67,5,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20228501_004
3026,487,434,0,0,822,131,126,0,0,814,145,135,0,0,0,0,0,0,0,0,0,0,0,0,54,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37741585_009
3762,932,236,0,0,958,231,65,0,0,970,231,69,0,0,0,0,0,0,0,0,0,0,0,0,67,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66243467_000
4515,816,572,0,0,1174,197,138,0,0,1184,204,132,0,0,0,0,0,0,0,0,0,0,0,0,82,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC58582464_004
3035,472,683,0,242,767,127,200,0,70,770,126,191,0,72,0,0,0,0,0,0,0,0,0,0,56,8,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC33026664_003
4050,908,651,0,433,1078,263,174,0,107,1089,257,169,0,106,0,0,0,0,0,0,0,0,0,0,70,18,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC02853070_003
2309,1104,231,0,228,620,304,61,0,67,611,310,58,0,68,0,0,0,0,0,0,0,0,0,0,42,21,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC57292758_006
3660,669,627,0,0,890,176,158,0,0,914,185,168,0,0,0,0,0,0,0,0,0,0,0,0,67,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC55401391_002
2853,229,463,0,219,730,72,119,0,61,719,73,117,0,65,0,0,0,0,0,0,0,0,0,0,54,4,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC42006944_005
